,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
148,7,4,50,4:00,2023-04-07,4,Friday,N,N,AM,Late_Night
149,7,5,50,5:00,2023-04-07,4,Friday,N,N,AM,Late_Night
150,7,6,100,6:00,2023-04-07,4,Friday,N,N,AM,Morning
151,7,7,100,7:00,2023-04-07,4,Friday,N,N,AM,Morning
152,7,8,100,8:00,2023-04-07,4,Friday,N,N,AM,Morning
153,7,9,400,9:00,2023-04-07,4,Friday,N,N,AM,Morning
154,7,10,200,10:00,2023-04-07,4,Friday,N,N,AM,Morning
155,7,11,200,11:00,2023-04-07,4,Friday,N,N,AM,Morning
156,7,12,200,12:00,2023-04-07,4,Friday,N,N,PM,Afternoon
157,7,13,150,13:00,2023-04-07,4,Friday,N,N,PM,Afternoon
158,7,14,200,14:00,2023-04-07,4,Friday,N,N,PM,Afternoon
159,7,15,300,15:00,2023-04-07,4,Friday,N,N,PM,Afternoon
160,7,16,250,16:00,2023-04-07,4,Friday,N,N,PM,Afternoon
161,7,17,200,17:00,2023-04-07,4,Friday,N,N,PM,Afternoon
162,7,18,300,18:00,2023-04-07,4,Friday,N,N,PM,Night
163,7,19,300,19:00,2023-04-07,4,Friday,N,N,PM,Night
164,7,20,400,20:00,2023-04-07,4,Friday,N,N,PM,Night
165,7,21,150,21:00,2023-04-07,4,Friday,N,N,PM,Night
166,7,22,350,22:00,2023-04-07,4,Friday,N,N,PM,Night
167,7,23,100,23:00,2023-04-07,4,Friday,N,N,PM,Night
168,8,0,50,0:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
169,8,1,250,1:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
170,8,2,50,2:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
171,8,3,50,3:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
172,8,4,50,4:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
173,8,5,50,5:00,2023-04-08,5,Saturday,Y,N,AM,Late_Night
174,8,6,50,6:00,2023-04-08,5,Saturday,Y,N,AM,Morning
175,8,7,50,7:00,2023-04-08,5,Saturday,Y,N,AM,Morning
176,8,8,50,8:00,2023-04-08,5,Saturday,Y,N,AM,Morning
177,8,9,150,9:00,2023-04-08,5,Saturday,Y,N,AM,Morning
178,8,10,250,10:00,2023-04-08,5,Saturday,Y,N,AM,Morning
179,8,11,100,11:00,2023-04-08,5,Saturday,Y,N,AM,Morning
180,8,12,150,12:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
181,8,13,200,13:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
182,8,14,250,14:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
183,8,15,250,15:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
184,8,16,200,16:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
185,8,17,250,17:00,2023-04-08,5,Saturday,Y,N,PM,Afternoon
186,8,18,350,18:00,2023-04-08,5,Saturday,Y,N,PM,Night
187,8,19,200,19:00,2023-04-08,5,Saturday,Y,N,PM,Night
188,8,20,200,20:00,2023-04-08,5,Saturday,Y,N,PM,Night
189,8,21,150,21:00,2023-04-08,5,Saturday,Y,N,PM,Night
190,8,22,200,22:00,2023-04-08,5,Saturday,Y,N,PM,Night
191,8,23,150,23:00,2023-04-08,5,Saturday,Y,N,PM,Night
192,9,0,200,0:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
193,9,1,100,1:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
194,9,2,50,2:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
195,9,3,50,3:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
196,9,4,50,4:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
197,9,5,50,5:00,2023-04-09,6,Sunday,Y,N,AM,Late_Night
198,9,6,50,6:00,2023-04-09,6,Sunday,Y,N,AM,Morning
199,9,7,100,7:00,2023-04-09,6,Sunday,Y,N,AM,Morning
200,9,8,350,8:00,2023-04-09,6,Sunday,Y,N,AM,Morning
201,9,9,150,9:00,2023-04-09,6,Sunday,Y,N,AM,Morning
202,9,10,250,10:00,2023-04-09,6,Sunday,Y,N,AM,Morning
203,9,11,350,11:00,2023-04-09,6,Sunday,Y,N,AM,Morning
204,9,12,350,12:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
205,9,13,100,13:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
206,9,14,150,14:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
207,9,15,350,15:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
208,9,16,250,16:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
209,9,17,250,17:00,2023-04-09,6,Sunday,Y,N,PM,Afternoon
210,9,18,350,18:00,2023-04-09,6,Sunday,Y,N,PM,Night
211,9,19,250,19:00,2023-04-09,6,Sunday,Y,N,PM,Night
212,9,20,200,20:00,2023-04-09,6,Sunday,Y,N,PM,Night
213,9,21,100,21:00,2023-04-09,6,Sunday,Y,N,PM,Night
214,9,22,150,22:00,2023-04-09,6,Sunday,Y,N,PM,Night
215,9,23,50,23:00,2023-04-09,6,Sunday,Y,N,PM,Night
216,10,0,50,0:00,2023-04-10,0,Monday,N,N,AM,Late_Night
217,10,1,50,1:00,2023-04-10,0,Monday,N,N,AM,Late_Night
218,10,2,50,2:00,2023-04-10,0,Monday,N,N,AM,Late_Night
219,10,3,50,3:00,2023-04-10,0,Monday,N,N,AM,Late_Night
220,10,4,50,4:00,2023-04-10,0,Monday,N,N,AM,Late_Night
221,10,5,50,5:00,2023-04-10,0,Monday,N,N,AM,Late_Night
222,10,6,50,6:00,2023-04-10,0,Monday,N,N,AM,Morning
223,10,7,100,7:00,2023-04-10,0,Monday,N,N,AM,Morning
224,10,8,150,8:00,2023-04-10,0,Monday,N,N,AM,Morning
225,10,9,150,9:00,2023-04-10,0,Monday,N,N,AM,Morning
226,10,10,350,10:00,2023-04-10,0,Monday,N,N,AM,Morning
227,10,11,300,11:00,2023-04-10,0,Monday,N,N,AM,Morning
228,10,12,300,12:00,2023-04-10,0,Monday,N,N,PM,Afternoon
229,10,13,250,13:00,2023-04-10,0,Monday,N,N,PM,Afternoon
230,10,14,100,14:00,2023-04-10,0,Monday,N,N,PM,Afternoon
231,10,15,150,15:00,2023-04-10,0,Monday,N,N,PM,Afternoon
232,10,16,150,16:00,2023-04-10,0,Monday,N,N,PM,Afternoon
233,10,17,200,17:00,2023-04-10,0,Monday,N,N,PM,Afternoon
234,10,18,300,18:00,2023-04-10,0,Monday,N,N,PM,Night
235,10,19,200,19:00,2023-04-10,0,Monday,N,N,PM,Night
236,10,20,100,20:00,2023-04-10,0,Monday,N,N,PM,Night
237,10,21,100,21:00,2023-04-10,0,Monday,N,N,PM,Night
238,10,22,150,22:00,2023-04-10,0,Monday,N,N,PM,Night
239,10,23,150,23:00,2023-04-10,0,Monday,N,N,PM,Night
240,11,0,50,0:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
241,11,1,50,1:00,2023-04-11,1,Tuesday,N,N,AM,Late_Night
